p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
CD300A	3.70897385884303e-283	0.308978535387771	0.283	0.154	7.96390866970775e-279	0	CD300A
BTG2	4.25892807116252e-283	0.290330429015498	0.838	0.772	9.14477035440015e-279	0	BTG2
HSPA8	4.03805152179389e-282	0.367641341281333	0.973	0.955	8.67050422759584e-278	0	HSPA8
TRDC	6.59576328020758e-282	0.273281565487845	0.61	0.447	1.41624229152617e-277	0	TRDC
APOL6	2.33865988229223e-276	0.322256884967661	0.434	0.294	5.02157049925787e-272	0	APOL6
HSPA6	3.85602058921773e-276	0.94759300665697	0.417	0.288	8.27964740916831e-272	0	HSPA6
SLC15A4	2.30677387165551e-272	0.302604122100459	0.384	0.242	4.95310485721871e-268	0	SLC15A4
DHRS7	3.38219670622845e-264	0.288545426691365	0.566	0.441	7.26225276761372e-260	0	DHRS7
LIMD2	2.20463827606228e-262	0.309476913133829	0.633	0.522	4.73379930636093e-258	0	LIMD2
KLF3	2.43824281004306e-254	0.326326001148882	0.413	0.281	5.23539496172446e-250	0	KLF3
NCR3	7.59728129404505e-251	0.283849907134334	0.364	0.227	1.63128823945735e-246	0	NCR3
SUN2	1.05162396453499e-249	0.299669636096613	0.445	0.318	2.25804697664954e-245	0	SUN2
ITGB7	3.55580950492273e-249	0.309189575268413	0.255	0.142	7.63503416897009e-245	0	ITGB7
CD47	3.84217271270411e-244	0.303134771821391	0.509	0.392	8.24991324871826e-240	0	CD47
PTPN7	1.1732554021544e-238	0.291453722399237	0.552	0.425	2.51921399950593e-234	0	PTPN7
PDE4D	3.96180917027238e-234	0.29277507195302	0.368	0.24	8.50679665040885e-230	0	PDE4D
UAP1	1.03409408987476e-232	0.328126497355738	0.346	0.225	2.2204068297791e-228	0	UAP1
TFDP2	1.42666641277028e-231	0.280178463365051	0.336	0.214	3.06333812150035e-227	0	TFDP2
TBX21	1.72164132113309e-231	0.268549220990269	0.368	0.236	3.69670824473697e-227	0	TBX21
EBP	7.01040193731775e-229	0.304756622573147	0.394	0.273	1.50527350398087e-224	0	EBP
MGAT4A	5.59414393776736e-224	0.26010300540285	0.392	0.262	1.20117458631741e-219	0	MGAT4A
PRMT2	4.02508330094135e-221	0.291050864865284	0.476	0.359	8.64265886378127e-217	0	PRMT2
BIN1	9.9819262539582e-218	0.275024539869594	0.375	0.255	2.1433192052499e-213	0	BIN1
PPP1R18	1.84206682880774e-215	0.289554239005104	0.402	0.285	3.95528589481597e-211	0	PPP1R18
CDKN2D	1.07219789272588e-213	0.273916772124666	0.526	0.407	2.30222331526101e-209	0	CDKN2D
GIMAP4	5.92207349333188e-211	0.264965056850515	0.26	0.149	1.27158762048822e-206	0	GIMAP4
UCP2	1.46895605759637e-209	0.261197788789818	0.556	0.437	3.15414244687093e-205	0	UCP2
PIM1	1.867313354193e-208	0.347705405186061	0.461	0.345	4.0094952341232e-204	0	PIM1
SH3BP5	5.20254257073799e-205	0.276576421749262	0.267	0.161	1.11708994078886e-200	0	SH3BP5
HAVCR2	1.79581492616436e-204	0.300506706441575	0.294	0.184	3.85597380946012e-200	0	HAVCR2
DNAJB1	5.13869235991095e-204	0.517356808763678	0.838	0.813	1.10338002352008e-199	0	DNAJB1
PTPN4	1.85505001903456e-199	0.251402382260875	0.337	0.22	3.98316340087102e-195	0	PTPN4
MVD	3.66465391960451e-196	0.268095720005802	0.319	0.206	7.86874489617481e-192	0	MVD
HSPA1A	2.85289167465819e-195	0.639667158089234	0.7	0.644	6.12572900382607e-191	0	HSPA1A
ATM	2.38385632123014e-191	0.270448151357844	0.417	0.303	5.11861629294536e-187	0	ATM
ARL6IP5	1.24202351919703e-189	0.262090778128014	0.7	0.63	2.66687290041987e-185	0	ARL6IP5
MAPRE2	1.42083319801753e-186	0.299306163897334	0.385	0.281	3.05081304278324e-182	0	MAPRE2
CLEC2B	5.92434787064702e-186	0.281896706109979	0.717	0.634	1.27207597478533e-181	0	CLEC2B
TPST2	7.08775014387624e-182	0.256739491988484	0.38	0.273	1.52188171089311e-177	0	TPST2
GIMAP7	1.14976852994949e-178	0.267041928963699	0.282	0.174	2.46878298750755e-174	0	GIMAP7
CDC42EP3	3.32753145091271e-176	0.289435329304159	0.379	0.274	7.14487553139977e-172	0	CDC42EP3
HSP90AA1	6.17373118503222e-174	0.386801802365921	0.988	0.985	1.32562356005012e-169	0	HSP90AA1
ADD3	2.91064014091443e-172	0.253608679893609	0.309	0.209	6.24972651057147e-168	0	ADD3
NDUFB7	3.57419610763956e-156	0.256498217539736	0.397	0.307	7.67451388232366e-152	0	NDUFB7
TECR	1.20370818943669e-154	0.259280958602409	0.377	0.286	2.58460222435846e-150	0	TECR
CACYBP	7.635818813758e-146	0.367980683627382	0.598	0.524	1.63956301569012e-141	0	CACYBP
CCL3	7.37940770986016e-139	0.298685706300386	0.702	0.608	1.58450642346117e-134	0	CCL3
HSPA1B	1.93029001556766e-130	0.663067497260132	0.549	0.503	4.14471872142688e-126	0	HSPA1B
SH2D2A	7.86200095514789e-126	0.25028583776427	0.42	0.329	1.68812884508935e-121	0	SH2D2A
ZFAND2A	2.92205205591736e-103	0.32129046070017	0.451	0.375	6.27423017446576e-99	0	ZFAND2A
MT1X	6.10517354565296e-70	0.925768458940768	0.429	0.363	1.3109028637226e-65	0	MT1X
TNF	8.92147368585602e-62	0.265077518331119	0.276	0.217	1.915618829827e-57	0	TNF
XCL1	0	1.37969749929772	0.794	0.348	0	1	XCL1
GZMK	0	1.05805852882606	0.841	0.332	0	1	GZMK
CD160	0	0.917717878209679	0.709	0.322	0	1	CD160
KLRC1	0	0.894392872590571	0.543	0.172	0	1	KLRC1
CEBPD	0	0.891957191234019	0.75	0.382	0	1	CEBPD
AREG	0	0.884928100456563	0.875	0.586	0	1	AREG
XCL2	0	0.787782796654448	0.868	0.548	0	1	XCL2
CD7	0	0.787059416246783	0.972	0.77	0	1	CD7
FCER1G	0	0.770496824531438	0.903	0.452	0	1	FCER1G
IFRD1	0	0.738924909632699	0.91	0.723	0	1	IFRD1
FAM177A1	0	0.736347720725838	0.881	0.668	0	1	FAM177A1
CMC1	0	0.728005723159795	0.899	0.631	0	1	CMC1
GSTP1	0	0.72428754233291	0.92	0.738	0	1	GSTP1
TMIGD2	0	0.712450549019871	0.557	0.199	0	1	TMIGD2
IRF8	0	0.710704129644634	0.656	0.352	0	1	IRF8
KLRB1	0	0.68634224440565	0.932	0.572	0	1	KLRB1
SPRY1	0	0.68485039782408	0.411	0.113	0	1	SPRY1
TYROBP	0	0.665549868403845	0.965	0.621	0	1	TYROBP
PIK3R1	0	0.659807952762604	0.859	0.599	0	1	PIK3R1
MAP3K8	0	0.655476630347204	0.846	0.645	0	1	MAP3K8
ATP1B3	0	0.642108503735651	0.798	0.625	0	1	ATP1B3
SPRY2	0	0.634003793797557	0.477	0.175	0	1	SPRY2
ALOX5AP	0	0.633847469970443	0.793	0.556	0	1	ALOX5AP
IFITM2	0	0.606150436088452	0.985	0.9	0	1	IFITM2
MAPK1	0	0.602183876431247	0.672	0.433	0	1	MAPK1
TLE1	0	0.59912023628898	0.525	0.28	0	1	TLE1
CCL31	0	0.593047898694472	0.779	0.577	0	1	CCL3
CYCS	0	0.569223998908181	0.94	0.87	0	1	CYCS
B3GNT7	0	0.562242491019361	0.382	0.128	0	1	B3GNT7
TXK	0	0.556692182782188	0.542	0.269	0	1	TXK
CEMIP2	0	0.544348981196649	0.763	0.581	0	1	CEMIP2
TOX2	0	0.544043915490466	0.278	0.057	0	1	TOX2
MATK	0	0.54061587874878	0.693	0.406	0	1	MATK
IL2RB	0	0.531264208730041	0.518	0.283	0	1	IL2RB
CLIC31	0	0.529968270814194	0.731	0.489	0	1	CLIC3
KRT86	0	0.529421410520824	0.275	0.136	0	1	KRT86
CD81	0	0.52744021863004	0.899	0.76	0	1	CD81
NR4A2	0	0.526310889486792	0.882	0.762	0	1	NR4A2
CLDND1	0	0.517935814053347	0.49	0.257	0	1	CLDND1
LDHA	0	0.508662430575107	0.892	0.815	0	1	LDHA
ID1	0	0.50865970484559	0.469	0.28	0	1	ID1
ZBTB16	0	0.501495974991911	0.489	0.252	0	1	ZBTB16
IER2	0	0.500149543087415	0.994	0.963	0	1	IER2
HSPA5	0	0.498878097844442	0.966	0.907	0	1	HSPA5
NFKBIA	0	0.493879726660742	0.992	0.976	0	1	NFKBIA
LAT2	0	0.492692693203929	0.479	0.247	0	1	LAT2
ICAM1	0	0.473889007486832	0.44	0.261	0	1	ICAM1
CHKA	0	0.473184116748445	0.291	0.1	0	1	CHKA
ZNF331	0	0.464830219763639	0.799	0.612	0	1	ZNF331
YPEL5	0	0.462530751910496	0.943	0.859	0	1	YPEL5
SRGN	0	0.461355678779564	0.999	0.987	0	1	SRGN
CD96	0	0.459034741779499	0.67	0.443	0	1	CD96
DHRS3	0	0.453706873279515	0.378	0.168	0	1	DHRS3
METTL9	0	0.453421726508675	0.538	0.36	0	1	METTL9
H2AFJ	0	0.452386422367838	0.609	0.463	0	1	H2AFJ
GZMM1	0	0.443449813027962	0.796	0.607	0	1	GZMM
SERTAD1	0	0.44246037348921	0.88	0.778	0	1	SERTAD1
KLRF11	0	0.439170735896161	0.743	0.507	0	1	KLRF1
CTDP1	0	0.438905041417996	0.353	0.157	0	1	CTDP1
MCTP2	0	0.434946800625405	0.405	0.199	0	1	MCTP2
CCNH	0	0.431567628762741	0.732	0.584	0	1	CCNH
RBM38	0	0.431181636125167	0.754	0.579	0	1	RBM38
NUCB2	0	0.430388484904695	0.493	0.286	0	1	NUCB2
CD38	0	0.413353460163962	0.375	0.195	0	1	CD38
YES1	0	0.413256494500422	0.408	0.215	0	1	YES1
ARHGAP9	0	0.411018026476287	0.676	0.477	0	1	ARHGAP9
JAK1	0	0.408676093059334	0.816	0.669	0	1	JAK1
OFD1	0	0.40612051812944	0.61	0.438	0	1	OFD1
AP3S1	0	0.404391145237179	0.449	0.296	0	1	AP3S1
METRNL	0	0.402294784698479	0.81	0.687	0	1	METRNL
TGFB1	0	0.402115265851687	0.861	0.739	0	1	TGFB1
PDE7A	0	0.398647886285411	0.451	0.267	0	1	PDE7A
REL	0	0.396670598382916	0.913	0.824	0	1	REL
PABPC1	0	0.395481301467911	0.983	0.93	0	1	PABPC1
GZMA1	0	0.393463786621079	0.882	0.689	0	1	GZMA
SRSF2	0	0.392241489193952	0.921	0.824	0	1	SRSF2
STK17A	0	0.384767768080425	0.836	0.681	0	1	STK17A
TESC	0	0.383059058980453	0.275	0.129	0	1	TESC
APMAP	0	0.380406757017611	0.662	0.473	0	1	APMAP
RANBP2	0	0.377407826882669	0.418	0.263	0	1	RANBP2
TIPARP	0	0.377248409598843	0.577	0.415	0	1	TIPARP
GADD45B	0	0.374003675268125	0.991	0.953	0	1	GADD45B
BZW1	0	0.372520502102899	0.832	0.711	0	1	BZW1
VPS37B	0	0.371810737978783	0.565	0.399	0	1	VPS37B
SLFN13	0	0.368212451474112	0.332	0.164	0	1	SLFN13
PDCD4	0	0.368067510108063	0.684	0.507	0	1	PDCD4
NFKB1	0	0.366490050948956	0.618	0.476	0	1	NFKB1
OTULIN	0	0.366350109724515	0.578	0.425	0	1	OTULIN
LPIN1	0	0.364563340828323	0.421	0.266	0	1	LPIN1
H3F3B	0	0.363077856352182	1	0.997	0	1	H3F3B
KLRD11	0	0.360122303185879	0.946	0.723	0	1	KLRD1
PIP4K2A	0	0.359453500297167	0.712	0.562	0	1	PIP4K2A
ADGRE5	0	0.359367285139847	0.803	0.691	0	1	ADGRE5
LITAF	0	0.358353123013214	0.878	0.754	0	1	LITAF
ARHGDIB	0	0.358002497392873	0.933	0.874	0	1	ARHGDIB
TUBB4B	0	0.353698027270372	0.948	0.889	0	1	TUBB4B
FYN	0	0.348964770229228	0.792	0.637	0	1	FYN
PTP4A1	0	0.344819392609865	0.607	0.471	0	1	PTP4A1
EIF3G	0	0.344412945053999	0.787	0.693	0	1	EIF3G
TENT5C	0	0.336211619721677	0.591	0.432	0	1	TENT5C
IFITM3	0	0.334568704317168	0.631	0.395	0	1	IFITM3
AC044849.1	0	0.333883204918668	0.735	0.6	0	1	AC044849.1
CD63	0	0.322975695882664	0.831	0.707	0	1	CD63
FOSL2	0	0.322799403704356	0.717	0.573	0	1	FOSL2
GYPC	0	0.316696746474607	0.739	0.609	0	1	GYPC
ACTG1	0	0.313088300341243	0.995	0.98	0	1	ACTG1
FOS	0	0.311305914307121	0.99	0.961	0	1	FOS
NCL	0	0.307669885995266	0.916	0.849	0	1	NCL
H2AFX	0	0.300574894519832	0.724	0.591	0	1	H2AFX
FOSB	0	0.294111531175943	0.921	0.843	0	1	FOSB
PNRC1	0	0.264858657249265	0.978	0.953	0	1	PNRC1
ID2	0	0.256502729381465	0.958	0.89	0	1	ID2
DUSP2	1.97534711901076e-306	0.347933237125853	0.935	0.875	4.24146533393991e-302	1	DUSP2
HELZ	1.81754478299082e-303	0.332568057197261	0.386	0.24	3.90263215803788e-299	1	HELZ
SFPQ	1.43479830358148e-301	0.271041986940002	0.835	0.752	3.08079891745015e-297	1	SFPQ
UBE2S	2.20946665997901e-301	0.270723391304542	0.873	0.799	4.74416681230692e-297	1	UBE2S
CSRNP1	5.95746145376884e-300	0.30786036025636	0.777	0.677	1.27918612335325e-295	1	CSRNP1
LEPROTL1	7.60527750518804e-300	0.319972024881681	0.704	0.576	1.63300518591398e-295	1	LEPROTL1
PARP8	2.49829103015421e-293	0.308932849517092	0.547	0.394	5.36433049994712e-289	1	PARP8
PRR7	3.5693426027794e-290	0.351319734596583	0.52	0.374	7.66409243668792e-286	1	PRR7
RNF125	6.71931802725637e-289	0.317978397360654	0.543	0.388	1.44277196681249e-284	1	RNF125
POLR2L	7.41714502917573e-289	0.28966650755285	0.727	0.628	1.59260938066461e-284	1	POLR2L
AC020916.1	2.33645664587492e-288	0.398260135499793	0.632	0.496	5.01683971002264e-284	1	AC020916.1
EML4	2.11661624845779e-286	0.316567950291485	0.615	0.473	4.54479840868857e-282	1	EML4
EIF4A3	2.26837567507042e-283	0.399584993468106	0.68	0.559	4.8706562495112e-279	1	EIF4A3
SOCS1	2.6557685557808e-283	0.311941103477191	0.723	0.593	5.70246624297254e-279	1	SOCS1
CALR	7.63645011340172e-280	0.275956199430098	0.845	0.778	1.63969856834962e-275	1	CALR
PDE4B	5.20575574700103e-279	0.304920814484649	0.512	0.364	1.11777987399606e-274	1	PDE4B
THAP2	1.31013752406223e-278	0.456907438567532	0.457	0.323	2.81312729166643e-274	1	THAP2
DDX3X	1.45755389516303e-276	0.258833971880366	0.876	0.813	3.12965972369406e-272	1	DDX3X
NCAM1	1.17458089026802e-271	0.264637859256009	0.255	0.128	2.52206008758349e-267	1	NCAM1
CHPT1	2.25495046690411e-257	0.284911679111953	0.292	0.164	4.8418296425365e-253	1	CHPT1
CTSD	2.88620201637904e-256	0.251326460537666	0.728	0.615	6.19725296956907e-252	1	CTSD
MAZ	2.44319291863023e-255	0.31024900572462	0.524	0.393	5.24602383488283e-251	1	MAZ
ETF1	2.55446152689577e-251	0.32045183892341	0.44	0.311	5.48493979055059e-247	1	ETF1
SH2D1A	1.24820800736157e-248	0.299018297624776	0.37	0.232	2.68015223340676e-244	1	SH2D1A
EVL	2.55867231547802e-248	0.259365880752854	0.744	0.639	5.4939811957944e-244	1	EVL
AOAH	4.07746161290483e-248	0.281550473311093	0.429	0.286	8.75512557522924e-244	1	AOAH
BIRC2	9.13024765931143e-246	0.306924445998281	0.523	0.393	1.96044677740735e-241	1	BIRC2
TMEM141	6.62250209992798e-238	0.305697031395849	0.293	0.175	1.42198365089654e-233	1	TMEM141
CHST12	1.98179780781987e-237	0.296091160423956	0.459	0.324	4.25531625295083e-233	1	CHST12
RAB11FIP1	3.777782675544e-236	0.269405049581951	0.57	0.435	8.11165496092807e-232	1	RAB11FIP1
PDIA3	1.3461974510704e-235	0.265760020791939	0.804	0.739	2.89055516693837e-231	1	PDIA3
SERBP1	1.20537036696636e-234	0.269012889109654	0.699	0.605	2.58817125195016e-230	1	SERBP1
WIPF1	9.21587165872244e-234	0.265597478267076	0.629	0.505	1.97883196256088e-229	1	WIPF1
PRMT9	7.00634005808796e-231	0.292357590006568	0.284	0.164	1.50440133727265e-226	1	PRMT9
RAB8B	2.92403915750377e-229	0.296192351498592	0.578	0.456	6.27849687899209e-225	1	RAB8B
ACAP1	4.33059358150762e-229	0.263263717496621	0.59	0.462	9.29865053821316e-225	1	ACAP1
SLC35E1	7.26072178100283e-227	0.298454902462797	0.347	0.223	1.55902218081693e-222	1	SLC35E1
ERGIC1	3.63113355845309e-224	0.281457339182091	0.332	0.213	7.79676997671047e-220	1	ERGIC1
MAFF	1.62312590075611e-223	0.296619266151661	0.599	0.477	3.48517593410351e-219	1	MAFF
PTGDR	3.08478665766785e-220	0.289645868677349	0.376	0.242	6.62365391134441e-216	1	PTGDR
KDM6B	1.351123679162e-214	0.286538072651357	0.702	0.597	2.90113276389664e-210	1	KDM6B
ZFP36	1.89032713704724e-214	0.251808978967931	0.982	0.957	4.05891042866783e-210	1	ZFP36
BCL2A1	2.56028902325356e-211	0.298301233143832	0.445	0.308	5.49745259073004e-207	1	BCL2A1
SNHG7	2.61071039267085e-209	0.303835712151836	0.583	0.474	5.60571735514285e-205	1	SNHG7
CCDC107	1.10167795906508e-205	0.319867150600313	0.518	0.408	2.36552291370454e-201	1	CCDC107
SNHG9	6.74806130812084e-201	0.299476608931856	0.51	0.396	1.44894372407971e-196	1	SNHG9
FKBP11	1.1251190206698e-196	0.2790867620012	0.477	0.357	2.4158555611822e-192	1	FKBP11
IFITM1	3.482149918498e-196	0.274013386589814	0.39	0.269	7.47687230499891e-192	1	IFITM1
FAM43A	2.11436500504781e-195	0.272356623039874	0.368	0.245	4.53996453883866e-191	1	FAM43A
CHMP1B	2.17700494603069e-185	0.276844175949953	0.669	0.567	4.6744650201171e-181	1	CHMP1B
ZFAND5	8.96158472577923e-184	0.270636675261081	0.726	0.65	1.92423147231932e-179	1	ZFAND5
JMJD6	1.189005129638e-177	0.262131253169185	0.565	0.46	2.55303181435871e-173	1	JMJD6
NAP1L4	1.94296668293875e-175	0.251035280502794	0.483	0.373	4.17193806160609e-171	1	NAP1L4
TMEM243	5.96490886538546e-169	0.277867225012001	0.395	0.292	1.28078523157557e-164	1	TMEM243
PTPN2	8.33209611983468e-168	0.267239263995961	0.482	0.383	1.7890676788509e-163	1	PTPN2
TLN1	2.22042637555141e-167	0.255193910376511	0.535	0.433	4.76769951358399e-163	1	TLN1
ARF4	4.75330155416109e-162	0.273404838807846	0.494	0.4	1.02062890970947e-157	1	ARF4
GRASP	2.68738971799029e-158	0.317126036905968	0.582	0.482	5.77036320246875e-154	1	GRASP
RGCC	2.7898839120382e-158	0.363417977192258	0.669	0.589	5.99043873592842e-154	1	RGCC
USP36	2.20783842914893e-155	0.263495213019258	0.347	0.246	4.74067067506859e-151	1	USP36
WDR74	5.75818330091525e-154	0.324000519651153	0.361	0.262	1.23639711837252e-149	1	WDR74
AL118516.1	2.29410271052905e-152	0.277188837352393	0.473	0.372	4.92589734004797e-148	1	AL118516.1
ILF3-DT	2.53251827853945e-147	0.362580975847787	0.492	0.397	5.43782324767991e-143	1	ILF3-DT
TWISTNB	8.8128527915832e-142	0.263237314540384	0.393	0.293	1.89229575140875e-137	1	TWISTNB
CCL3L1	6.21933787310452e-122	0.436458973985436	0.51	0.416	1.335416228113e-117	1	CCL3L1
HECTD1	1.71615267913772e-121	0.25157837160241	0.278	0.195	3.68492303264451e-117	1	HECTD1
AC007952.4	4.56390839818322e-97	0.255624192480725	0.337	0.257	9.79962411257901e-93	1	AC007952.4
CD3D	0	1.23840206772432	0.459	0.056	0	2	CD3D
TRAC	0	1.09024467658535	0.548	0.152	0	2	TRAC
DUSP4	0	1.05645129322481	0.392	0.127	0	2	DUSP4
IL7R	0	0.825907988427052	0.346	0.144	0	2	IL7R
CD3E	0	0.79110046991035	0.864	0.433	0	2	CD3E
CD3G	0	0.766886879655755	0.351	0.053	0	2	CD3G
CD27	0	0.707092380426411	0.256	0.065	0	2	CD27
TUBA4A	0	0.687265819269185	0.868	0.747	0	2	TUBA4A
CD8A	0	0.654181952050829	0.254	0.092	0	2	CD8A
CD2	0	0.65395954253902	0.64	0.352	0	2	CD2
IER5L	0	0.603283044731737	0.615	0.367	0	2	IER5L
LAG3	0	0.569261976812915	0.328	0.103	0	2	LAG3
ID3	0	0.565498795920303	0.266	0.116	0	2	ID3
CLEC2D	0	0.540512790930456	0.433	0.22	0	2	CLEC2D
ZFP36L2	0	0.517876862265007	0.971	0.93	0	2	ZFP36L2
CXCR4	0	0.47028169719575	0.918	0.772	0	2	CXCR4
SRSF7	0	0.455469074272748	0.96	0.905	0	2	SRSF7
MAF	0	0.38546553220557	0.293	0.138	0	2	MAF
IL32	0	0.379674448012453	0.844	0.571	0	2	IL32
BTG1	0	0.324304709853841	0.999	0.992	0	2	BTG1
RPS29	0	0.313492561321042	0.999	0.994	0	2	RPS29
TSC22D3	0	0.305877489551404	0.979	0.956	0	2	TSC22D3
SARAF	0	0.301086959672757	0.942	0.893	0	2	SARAF
RPS27	0	0.275355800158209	1	0.999	0	2	RPS27
UBC	0	0.275042579218206	0.997	0.995	0	2	UBC
RPL36	0	0.266512813442692	0.997	0.986	0	2	RPL36
RPS12	0	0.260264190833334	1	1	0	2	RPS12
TRBC2	1.20553690294894e-296	0.607062720657789	0.66	0.548	2.58852883801197e-292	2	TRBC2
RGS1	1.80021129671388e-295	0.428880383497036	0.769	0.639	3.86541369630405e-291	2	RGS1
ARID5B	2.62745109159848e-293	0.593727091551445	0.413	0.259	5.64166298388025e-289	2	ARID5B
JUNB	7.35911407305341e-292	0.326316789173136	0.981	0.965	1.58014897376603e-287	2	JUNB
