p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
IFITM2	0	0.500715301095203	0.991	0.953	0	1	IFITM2
EIF4A3	0	0.499406796673361	0.691	0.519	0	1	EIF4A3
RBM38	0	0.49855714637001	0.788	0.574	0	1	RBM38
CYCS	0	0.497915192230497	0.949	0.873	0	1	CYCS
NR4A2	0	0.493966867764084	0.894	0.783	0	1	NR4A2
TESC	0	0.492375210075304	0.307	0.102	0	1	TESC
CCNH	0	0.488355651044508	0.758	0.563	0	1	CCNH
XCL2	0	0.486196416716637	0.869	0.664	0	1	XCL2
NUCB2	0	0.482381774298787	0.51	0.279	0	1	NUCB2
RANBP2	0	0.482352619333732	0.437	0.223	0	1	RANBP2
PDCD4	0	0.463808177791304	0.698	0.459	0	1	PDCD4
IL2RB	0	0.461565809513434	0.543	0.344	0	1	IL2RB
LPIN1	0	0.458414411440999	0.45	0.237	0	1	LPIN1
CTDP1	0	0.453286963236124	0.37	0.156	0	1	CTDP1
PDE7A	0	0.451557792972015	0.484	0.254	0	1	PDE7A
LDHA	0	0.450564589180922	0.896	0.811	0	1	LDHA
ARHGDIB	0	0.450196926237525	0.949	0.872	0	1	ARHGDIB
LEPROTL1	0	0.441471862634489	0.714	0.532	0	1	LEPROTL1
SOCS1	0	0.441232882393853	0.736	0.565	0	1	SOCS1
EML4	0	0.432746985484642	0.634	0.422	0	1	EML4
OFD1	0	0.43229731243294	0.637	0.448	0	1	OFD1
TUBB4B	0	0.425888224975136	0.951	0.875	0	1	TUBB4B
LAT2	0	0.419789226866188	0.506	0.286	0	1	LAT2
TXK	0	0.418546899597627	0.569	0.363	0	1	TXK
FOS	0	0.412652044281816	0.991	0.958	0	1	FOS
IFITM3	0	0.41030411116637	0.64	0.428	0	1	IFITM3
TENT5C	0	0.409333057990096	0.617	0.409	0	1	TENT5C
PTP4A1	0	0.401929695204654	0.614	0.426	0	1	PTP4A1
TIPARP	0	0.400371805914851	0.593	0.402	0	1	TIPARP
FOSB	0	0.395961289057828	0.92	0.811	0	1	FOSB
ARHGAP9	0	0.394096765942543	0.706	0.511	0	1	ARHGAP9
SERTAD1	0	0.392089832744541	0.888	0.805	0	1	SERTAD1
SLC35E1	0	0.390777391076327	0.369	0.185	0	1	SLC35E1
RAB11FIP1	0	0.388875089182696	0.587	0.385	0	1	RAB11FIP1
DHRS3	0	0.386190932128597	0.401	0.21	0	1	DHRS3
CHPT1	0	0.38126210021949	0.296	0.116	0	1	CHPT1
MATK	0	0.374063594722242	0.713	0.53	0	1	MATK
H3F3B	0	0.37125494903051	1	0.998	0	1	H3F3B
STK17A	0	0.370059388964106	0.844	0.699	0	1	STK17A
NFKBIA	0	0.364369401253671	0.993	0.988	0	1	NFKBIA
GYPC	0	0.364335963777115	0.758	0.585	0	1	GYPC
IER2	0	0.345807017314952	0.995	0.984	0	1	IER2
RPLP1	0	0.339585006863761	1	1	0	1	RPLP1
FYN	0	0.331681005382409	0.817	0.672	0	1	FYN
SRSF2	0	0.321960933956184	0.93	0.839	0	1	SRSF2
PTMA	0	0.288873291133065	1	0.998	0	1	PTMA
ACTG1	0	0.274420612811078	0.996	0.99	0	1	ACTG1
ACTB	0	0.264351966016469	1	0.999	0	1	ACTB
GADD45B	0	0.255263690421406	0.992	0.97	0	1	GADD45B
BTG1	0	0.25010797744844	0.999	0.997	0	1	BTG1
CCL3	2.08188711329079e-302	0.393673163033427	0.847	0.663	4.47022800965798e-298	1	CCL3
GADD45G	5.43282433441235e-302	0.511697191760142	0.459	0.268	1.16653604108502e-297	1	GADD45G
ZFAND5	1.87272011197526e-291	0.433665526400546	0.735	0.599	4.02110462443329e-287	1	ZFAND5
PNRC1	8.27920521925537e-291	0.250532150419007	0.982	0.957	1.77771094467851e-286	1	PNRC1
ICAM1	1.27710392738269e-290	0.455409062428401	0.465	0.281	2.74219755287612e-286	1	ICAM1
MT-ND1	2.52183159989297e-284	0.254643960217786	0.992	0.979	5.41487681129018e-280	1	MT-ND1
FOSL2	3.73439671301939e-282	0.346615908213215	0.736	0.568	8.01849662219523e-278	1	FOSL2
TMEM156	3.695050815782e-281	0.350170838679218	0.271	0.115	7.93401311164711e-277	1	TMEM156
WDR74	4.66066309733867e-281	0.478681911220171	0.379	0.209	1.00073758026056e-276	1	WDR74
YES1	3.57589291107465e-279	0.367992440674066	0.445	0.259	7.67815725865949e-275	1	YES1
TSC22D3	5.78956802113666e-269	0.296603780364292	0.975	0.939	1.24313604549846e-264	1	TSC22D3
NCL	1.47019628591459e-268	0.280681253592377	0.925	0.852	3.1568054651158e-264	1	NCL
PRMT9	6.05685249463294e-268	0.365898052473267	0.297	0.139	1.30052736764758e-263	1	PRMT9
ITM2B	6.5529692917566e-268	0.275205519201253	0.932	0.874	1.40705356632598e-263	1	ITM2B
PABPC4	9.7599986076155e-267	0.376528235255055	0.418	0.243	2.0956669010272e-262	1	PABPC4
ZFP36	1.54083580804873e-265	0.317002888278819	0.986	0.953	3.30848264704224e-261	1	ZFP36
ERGIC1	6.08834919198197e-265	0.328585142463382	0.343	0.176	1.30729033850237e-260	1	ERGIC1
CD38	5.90004713342358e-262	0.354107233118518	0.412	0.234	1.26685812048871e-257	1	CD38
BCL2A1	2.45050794763998e-261	0.494119390064196	0.473	0.3	5.26173066517257e-257	1	BCL2A1
ETF1	1.67397789021949e-259	0.360285556903464	0.461	0.286	3.59436532587929e-255	1	ETF1
TGFB1	7.56338981318633e-259	0.285985970699037	0.877	0.78	1.62401106068737e-254	1	TGFB1
H2AFJ	9.2194935607703e-257	0.427477715929976	0.624	0.462	1.9796096573686e-252	1	H2AFJ
MCTP2	3.60621491041624e-255	0.352946250649415	0.433	0.259	7.74326465564575e-251	1	MCTP2
BZW1	3.72951990929209e-254	0.298754259056357	0.843	0.733	8.00802514923197e-250	1	BZW1
SNHG7	6.22293595152873e-251	0.382017797568627	0.591	0.425	1.33618880751225e-246	1	SNHG7
SRSF5	1.97839774139258e-247	0.252310304407934	0.939	0.879	4.24801563031815e-243	1	SRSF5
USP36	3.75574631149454e-247	0.364331713775608	0.37	0.208	8.06433848004107e-243	1	USP36
JAK1	1.23804430689227e-246	0.283923647208003	0.834	0.72	2.65832873575907e-242	1	JAK1
LIMS1	3.98669143086886e-243	0.332019328954584	0.331	0.172	8.56022384036161e-239	1	LIMS1
SFPQ	1.1743440319765e-241	0.282707731675206	0.845	0.739	2.52155150545994e-237	1	SFPQ
SLFN13	3.34150307765933e-240	0.342470054697032	0.354	0.194	7.17487540835011e-236	1	SLFN13
VPS37B	9.35805516855954e-240	0.335956497481052	0.593	0.425	2.00936160579311e-235	1	VPS37B
AC020916.1	7.64339558778565e-236	0.405200238423056	0.645	0.479	1.64118990060933e-231	1	AC020916.1
HELZ	9.23650033315581e-235	0.330542692510797	0.417	0.251	1.98326135153521e-230	1	HELZ
TMEM141	2.12269291921253e-233	0.327874268638021	0.315	0.163	4.55784623613314e-229	1	TMEM141
POLR2L	8.95712514872317e-233	0.299374450630327	0.74	0.61	1.92327391193384e-228	1	POLR2L
CTSZ	3.97566137293627e-229	0.29385836642344	0.268	0.126	8.53654009996877e-225	1	CTSZ
METRNL	5.80705546340584e-225	0.323428595554997	0.826	0.721	1.2468909491025e-220	1	METRNL
KRT86	7.3304060376793e-223	0.617088247364163	0.279	0.139	1.5739847844105e-218	1	KRT86
HERPUD1	5.22648030860467e-221	0.299432670818734	0.831	0.726	1.1222298518636e-216	1	HERPUD1
AC044849.1	6.98416077367212e-220	0.346378416148322	0.74	0.611	1.49963900132288e-215	1	AC044849.1
H2AFX	5.31759704759725e-218	0.303832558546986	0.725	0.592	1.14179443806008e-213	1	H2AFX
CRYBG1	4.9220430928186e-217	0.337919219292008	0.424	0.261	1.05686109289001e-212	1	CRYBG1
PARP8	3.92969060844864e-216	0.319399463156768	0.557	0.403	8.43783167446093e-212	1	PARP8
DDIT4	3.22471937714881e-215	0.277452417813317	0.854	0.742	6.92411744661393e-211	1	DDIT4
PIP4K2A	6.48762759924031e-214	0.295294871354723	0.733	0.612	1.39302339810888e-209	1	PIP4K2A
SKP1	1.65654945341597e-213	0.25140388252325	0.876	0.792	3.55694298637478e-209	1	SKP1
ADGRE5	5.93391471241957e-213	0.296978506328981	0.814	0.7	1.27413016705073e-208	1	ADGRE5
CD63	1.41343822734945e-210	0.254605764769239	0.843	0.738	3.03493456176474e-206	1	CD63
UBE2S	6.39877215703317e-209	0.274737357172934	0.871	0.798	1.37394435755816e-204	1	UBE2S
CALR	1.00266169612591e-205	0.264988142511712	0.861	0.772	2.15291519392156e-201	1	CALR
SERBP1	2.92250306563541e-201	0.283416749500844	0.715	0.588	6.27519858253236e-197	1	SERBP1
EVL	1.10422022994905e-199	0.258278904552634	0.769	0.642	2.3709816777466e-195	1	EVL
MAZ	2.58084084063163e-199	0.311096684537648	0.545	0.395	5.54158145300423e-195	1	MAZ
PIK3IP1	3.52524029584669e-198	0.275871164394775	0.715	0.579	7.56939596324201e-194	1	PIK3IP1
ETS1	6.74838934390193e-198	0.283640173710187	0.752	0.631	1.44901415992262e-193	1	ETS1
SH2D1A	7.33766002764391e-197	0.316594317786253	0.388	0.24	1.5755423611357e-192	1	SH2D1A
BCL2L11	1.55812145904706e-195	0.324321055113368	0.363	0.217	3.34559839686586e-191	1	BCL2L11
TMEM243	1.86238713225625e-194	0.323336814731259	0.405	0.257	3.99891765038061e-190	1	TMEM243
PIM2	1.19421127058446e-193	0.334213796141324	0.435	0.285	2.56421044019895e-189	1	PIM2
ATF4	6.92532826737679e-193	0.285551642461433	0.641	0.497	1.48700648557115e-188	1	ATF4
ELF1	4.29303394375825e-192	0.26299154450257	0.793	0.677	9.21800248403772e-188	1	ELF1
GUK1	9.39987307118056e-184	0.259547499300495	0.813	0.724	2.01834074584389e-179	1	GUK1
RNF125	1.98860045112997e-183	0.293060429208781	0.561	0.414	4.26992288866627e-179	1	RNF125
APMAP	2.17855865746742e-183	0.264721220109031	0.698	0.566	4.67780114931405e-179	1	APMAP
IRF2BP2	3.87132623657677e-183	0.307035552515272	0.565	0.423	8.31251169517764e-179	1	IRF2BP2
PPP1CB	4.19666683805498e-180	0.286566413834413	0.577	0.431	9.01108303467166e-176	1	PPP1CB
SIK3	3.8494427744199e-179	0.295336217741037	0.393	0.249	8.2655235252344e-175	1	SIK3
ARF6	1.40631599934222e-178	0.268056834923507	0.753	0.643	3.01964171378762e-174	1	ARF6
AC007952.4	4.16566399526147e-178	0.36528451762273	0.365	0.224	8.94451373062543e-174	1	AC007952.4
REL	6.12145681539536e-178	0.259080929272789	0.912	0.852	1.31439920740169e-173	1	REL
CSRNP1	1.21851912021379e-177	0.278028835936976	0.778	0.669	2.61640425492305e-173	1	CSRNP1
DDX24	1.40843611977656e-173	0.250917796849461	0.853	0.78	3.02419403638422e-169	1	DDX24
NAP1L4	2.48555448720267e-171	0.293216933730228	0.499	0.359	5.33698259492156e-167	1	NAP1L4
CASP3	3.38612678420873e-169	0.275049907313118	0.268	0.144	7.27069143105299e-165	1	CASP3
EIF4G2	3.16384523934805e-166	0.252371016187344	0.689	0.563	6.79340849792814e-162	1	EIF4G2
FKBP11	5.91519027333546e-166	0.28802102186325	0.521	0.381	1.27010965549059e-161	1	FKBP11
WIPF1	1.19192184565376e-164	0.255392509970166	0.656	0.516	2.55929458698775e-160	1	WIPF1
RAB8B	1.51496185019916e-164	0.271206147537786	0.611	0.468	3.25292608474764e-160	1	RAB8B
EIF3G	8.35970662262035e-162	0.262908496558094	0.801	0.716	1.79499620600904e-157	1	EIF3G
ACAP1	1.20776276868805e-161	0.256559217304834	0.6	0.461	2.59330821692697e-157	1	ACAP1
SURF4	1.58026842954351e-161	0.278440462138038	0.426	0.289	3.39315237191583e-157	1	SURF4
GYG1	5.72280016359225e-157	0.273421099102224	0.311	0.184	1.22879965112653e-152	1	GYG1
RPL22L1	7.04949397670775e-157	0.254187972747779	0.689	0.561	1.51366734667869e-152	1	RPL22L1
SEPT6	2.88566190767761e-155	0.272003352684924	0.548	0.418	6.19609324816537e-151	1	SEPT6
SLC25A39	5.35068032743477e-155	0.260713706536652	0.303	0.179	1.14889807990679e-150	1	SLC25A39
AC103591.3	6.15710855368878e-155	0.37920717085453	0.261	0.144	1.32205434864806e-150	1	AC103591.3
HIST1H1C	1.14801047019306e-153	0.34152731893606	0.42	0.286	2.46500808159855e-149	1	HIST1H1C
FOXO3	4.80316784793569e-153	0.269423534402023	0.282	0.162	1.03133620030875e-148	1	FOXO3
EIF3B	8.93571413145112e-152	0.258169452448906	0.318	0.193	1.91867653830518e-147	1	EIF3B
